,mean_abs_shap
time_since_last_fraud,0.81906366
anomaly_score,0.27970248
TransactionAmt,0.21845596
C14,0.18662062
M4,0.17625369
C1,0.16760698
time_since_last_txn,0.11937085
C13,0.11779307
card6,0.10943007
M6,0.10258593
C11,0.09918706
D2,0.09627813
D3,0.09410153
device_recent_fraud_rate,0.09258207
txns_last_7d,0.090579316
V307,0.09037277
C6,0.08663156
TransactionDT,0.08226478
C5,0.077772304
V70,0.07413316
P_emaildomain,0.071703926
V279,0.0716497
txn_count_so_far,0.0714786
V258,0.06703134
M5,0.06465923
card1,0.063914895
V294,0.057999134
C2,0.055816524
V308,0.054742213
D15,0.053670373
D4,0.05011023
R_emaildomain,0.043291453
V280,0.043158397
txn_velocity_24h,0.042758834
device_trust_score,0.038338155
card5,0.036893927
V317,0.0366406
D1,0.035454344
ProductCD,0.03494747
D10,0.03248806
D8,0.032434978
C9,0.0315363
C8,0.031126166
V49,0.029557291
V306,0.02751922
card2,0.02589208
C4,0.025821494
M3,0.024763418
V48,0.024204617
addr1,0.023442384
dist1,0.022678405
id_17,0.022262856
id_02,0.021976208
D11,0.02060675
V165,0.02054779
amt_rolling_mean_10,0.020306593
autoencoder_score,0.02005042
V316,0.019186283
V283,0.019154368
id_20,0.018100096
amt_shock_ratio,0.018082503
id_31,0.017663775
V312,0.017013706
graph_devices_per_card,0.016942248
V187,0.016844524
V264,0.016628094
id_05,0.016015876
V310,0.015417042
V45,0.014982952
D5,0.01495531
V285,0.014293417
id_38,0.013065113
card4,0.012525131
M7,0.012513332
graph_pagerank,0.0124447895
txns_last_1h,0.012213789
address_changed,0.011883575
id_18,0.011698149
device_unique_cards,0.01140187
V293,0.011222656
D13,0.0108420495
V133,0.010772008
V83,0.010564949
V281,0.009892132
amt_drift,0.009801478
V315,0.009801049
V91,0.009673264
V82,0.0095320335
V54,0.00951519
V69,0.0093041
card3,0.009297531
C10,0.0088019455
D6,0.008703627
seq_embed_6,0.008439898
DeviceInfo,0.007959486
V53,0.007871317
M9,0.007844256
device_txn_count,0.0077763647
V131,0.0077025373
V311,0.0076951813
V55,0.007466543
V38,0.007398198
V13,0.007354189
V282,0.007325403
V314,0.0073232087
id_11,0.0071783033
V287,0.00696579
id_01,0.006952681
C3,0.0069304956
amt_rolling_mean_3,0.006918521
risk_change_rate,0.00672124
V67,0.0064805406
seq_embed_4,0.0064763846
device_avg_gap,0.006384005
graph_avg_neighbor_risk,0.0060837967
V87,0.005989464
previous_risk_mean_3,0.0059183133
V62,0.0057462
id_06,0.0056755533
V90,0.0056663686
V12,0.0056345817
seq_embed_0,0.0056055975
V243,0.005598121
V286,0.005558767
amt_trend,0.0055387835
V130,0.005437145
V296,0.0053284992
V30,0.0053284415
V309,0.005319915
V50,0.005173948
V19,0.0051688827
id_30,0.0051428485
graph_community_size,0.0050604353
id_09,0.004989888
DeviceType,0.0049678884
V152,0.004846697
sequence_model_prob,0.0048183925
V127,0.004703451
amt_volatility_5,0.004698799
M2,0.004569621
V202,0.004562759
V156,0.0043593263
id_33,0.004247031
V99,0.004231348
V313,0.0042185844
V320,0.004154827
V201,0.0041281064
V257,0.0040709423
V2,0.0039500827
V170,0.0039041622
V124,0.0038485818
V167,0.0038103042
previous_risk_max_5,0.0037026738
D14,0.003563813
dist2,0.0035403057
graph_clustering,0.0034046315
id_19,0.0033990333
D9,0.0032815526
seq_embed_7,0.003261982
seq_embed_3,0.003219712
device_changed,0.0031684125
addr2,0.0030906114
V129,0.0030434022
V23,0.0028499574
id_14,0.0027744586
V217,0.0027292576
V149,0.002720135
M1,0.0027168586
V29,0.0026682096
seq_embed_1,0.002652519
V75,0.002651426
V20,0.0026314375
C12,0.0025421819
V135,0.0025350768
V128,0.0024820173
V24,0.0024750642
V261,0.0024450684
V81,0.0024276623
V159,0.0023781026
